"week","matchdate","time","home","score","away","attendance"
"12","2023-11-05","18:30:00","Paks","0-0","MTK Budapest","1824"
"13","2023-11-10","20:00:00","MTK Budapest","2-0","Zalaegerszeg","1923"
"13","2023-11-11","14:15:00","Diósgyőr","2-0","Mezőkövesd","6821"
"13","2023-11-11","19:30:00","Újpest","1-2","Puskás","4187"
"13","2023-11-12","18:30:00","Debrecen","1-0","Paks","4144"
"13","2023-11-12","16:00:00","Ferencváros","0-1","Vidi","11007"
"13","2023-11-12","13:30:00","Kisvárda","1-2","Kecskemét","2141"
"14","2023-11-24","20:00:00","Paks","4-1","Diósgyőr","1712"
"14","2023-11-25","14:45:00","Kisvárda","3-1","MTK Budapest","1890"
"14","2023-11-25","19:30:00","Mezőkövesd","4-0","Újpest","1896"
"14","2023-11-25","17:00:00","Zalaegerszeg","1-2","Debrecen","1914"
"14","2023-11-26","17:00:00","Puskás","1-1","Ferencváros","3525"
"14","2023-11-26","19:30:00","Vidi","3-3","Kecskemét","1752"
"15","2023-12-02","13:00:00","Kecskemét","1-2","MTK Budapest","1824"
"15","2023-12-02","19:30:00","Kisvárda","0-0","Debrecen","2050"
"15","2023-12-02","15:30:00","Vidi","3-1","Puskás","2172"
"15","2023-12-03","15:15:00","Diósgyőr","0-3","Zalaegerszeg","3652"
"15","2023-12-03","17:45:00","Ferencváros","0-0","Mezőkövesd","6127"
"15","2023-12-03","12:45:00","Újpest","1-2","Paks","3078"
"4","2023-12-06","19:30:00","Mezőkövesd","0-2","Ferencváros","2216"
"16","2023-12-08","20:00:00","Puskás","3-0","Kecskemét","1000"
"16","2023-12-09","13:15:00","MTK Budapest","2-1","Debrecen","2000"
"16","2023-12-09","15:45:00","Zalaegerszeg","1-1","Újpest","1755"
"16","2023-12-10","13:00:00","Kisvárda","1-2","Diósgyőr","1841"
"16","2023-12-10","15:30:00","Mezőkövesd","0-2","Vidi","1527"
"16","2023-12-10","18:00:00","Paks","3-2","Ferencváros","4201"
