Tevékenység típusa,Dátum,Kedvenc,Cím,Távolság,Kalóriaszám,Idő,Átlagos pulzusszám,Max. pulzus,Átl. pedálütem,Max. pedálütem,Átlagos tempó,Legjobb tempó,Teljes emelkedés,Teljes süllyedés,Átlagos lépéshossz,Átl. pedálütem,Max. pedálütem,Training Stress Score®,Teljes csapásszám,Lépések,Összes ismétlés,Összes szett,Dekompressziós,Legjobb köridő,Körök száma,Ált. légzés,Min. légzés,Max. légzés,Stresszadatok változása,Kezdő stressz,Befejező stressz,Átl. stressz,Max. stressz,Menetidő,Eltelt idő,Minimális magasság,Maximális magasság
Futás,2024-04-09 18:33:56,false,"Bp Futás","4.04","444","01:19:47","122","184","47","229","19:45","2:43","22","21","1.04","--","--","0.0","--","6,552","--","--","Nem","00:00:43.2","5","--","--","--","--","--","--","--","--","00:34:03","01:19:47","106","130"
Futás,2024-04-04 18:33:53,false,"Bp Futás","4.74","589","01:35:18","138","171","41","246","20:08","2:21","8","7","1.21","--","--","0.0","--","6,512","--","--","Nem","00:11:08","5","--","--","--","--","--","--","--","--","00:37:33","01:35:18","104","106"
Futás,2024-04-03 19:35:07,false,"Szeged Futás","5.03","261","00:25:05","170","191","159","222","4:59","4:01","16","14","1.26","--","--","0.0","--","4,002","--","--","Nem","00:00:07.7","6","--","--","--","--","--","--","--","--","00:24:46","00:27:57","75","81"
Futás,2024-04-02 19:08:20,false,"Bp Futás","4.67","379","00:52:00","139","175","82","228","11:08","3:43","19","15","1.10","--","--","0.0","--","6,228","--","--","Nem","00:07:00.7","5","--","--","--","--","--","--","--","--","00:39:57","00:52:00","93","111"
Kardió,2024-04-01 12:24:12,false,"Kardió","0.00","352","01:17:05","114","161","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","Nem","01:17:05","1","--","--","--","--","--","--","--","--","00:00:00","01:21:46","--","--"
Futás,2024-03-29 10:07:04,false,"Bp Futás","2.90","320","01:03:46","123","160","40","237","21:58","2:38","7","7","1.15","--","--","0.0","--","4,584","--","--","Nem","00:12:22","3","--","--","--","--","--","--","--","--","00:25:32","01:03:46","64","107"
Futás,2024-03-28 18:48:50,false,"Bp Futás","4.14","340","00:57:37","132","173","50","216","13:55","2:40","54","53","1.49","--","--","0.0","--","5,036","--","--","Nem","00:03:15.8","5","--","--","--","--","--","--","--","--","00:29:11","00:57:37","96","150"
Futás,2024-03-27 18:54:31,false,"Bp Futás","3.23","386","01:01:46","130","179","46","231","19:08","3:37","16","16","1.23","--","--","0.0","--","4,772","--","--","Nem","00:03:03.6","4","--","--","--","--","--","--","--","--","00:28:28","01:01:46","106","112"
Erősítő edzés,2024-03-26 16:08:33,false,"Súlyzózás","0.00","381","01:33:16","112","138","--","--","--","--","--","--","--","--","--","0.0","--","8","4","1","Nem","01:33:16","1","--","--","--","--","--","--","--","--","01:33:16","01:33:16","--","--"
Futás,2024-03-25 18:50:35,false,"Bp Futás","4.24","427","00:57:23","149","180","75","246","13:32","3:12","16","17","0.98","--","--","0.0","--","6,558","--","--","Nem","00:04:23.6","5","--","--","--","--","--","--","--","--","00:40:19","00:57:23","95","111"
Futás,2024-03-22 18:39:54,false,"Bp Futás","2.65","355","00:57:41","136","168","33","244","21:47","2:53","6","6","1.45","--","--","0.0","--","3,832","--","--","Nem","00:17:11","3","--","--","--","--","--","--","--","--","00:20:23","00:57:41","103","107"
Futás,2024-03-21 18:46:17,false,"Bp Futás","5.07","475","01:12:37","141","188","62","248","14:19","2:53","5","5","1.18","--","--","0.0","--","6,632","--","--","Nem","00:01:17.9","6","--","--","--","--","--","--","--","--","00:40:04","01:12:37","104","106"
Beltéri futás,2024-03-20 20:04:36,false,"Beltéri futás","0.00","125","00:36:26","132","188","1","109","--","18:25","--","--","0.26","--","--","0.0","--","38","--","--","Nem","00:36:26","1","--","--","--","--","--","--","--","--","00:00:07","00:36:26","--","--"
Futás,2024-03-19 18:59:36,false,"Bp Futás","3.54","387","01:02:15","140","173","51","249","17:36","3:57","10","9","1.13","--","--","0.0","--","5,134","--","--","Nem","00:06:28.1","4","--","--","--","--","--","--","--","--","00:30:41","01:02:15","106","112"
Futás,2024-03-10 14:38:45,false,"Bp Futás","6.86","557","01:15:34","152","179","79","212","11:01","1:59","91","96","1.16","--","--","0.0","--","8,492","--","--","Nem","00:02:28.8","9","--","--","--","--","--","--","--","--","00:54:22","01:15:34","106","113"
Futás,2024-03-09 10:29:18,false,"Szeged Futás","4.63","328","01:18:12","108","141","45","237","16:53","3:10","1","1","1.33","--","--","0.0","--","6,816","--","--","Nem","00:11:45","5","--","--","--","--","--","--","--","--","00:39:00","01:18:12","81","82"
Futás,2024-03-08 18:45:13,false,"Bp Futás","4.42","333","00:58:30","123","161","57","237","13:14","2:35","46","44","1.41","--","--","0.0","--","5,482","--","--","Nem","00:04:10.5","5","--","--","--","--","--","--","--","--","00:33:43","00:58:30","105","113"
Futás,2024-03-07 18:47:32,false,"Bp Futás","4.80","477","01:19:36","136","177","57","247","16:36","4:29","60","55","1.09","--","--","0.0","--","7,564","--","--","Nem","00:14:06","5","--","--","--","--","--","--","--","--","00:43:55","01:19:36","104","113"
Beltéri futás,2024-03-06 17:58:51,false,"Beltéri futás","0.00","193","00:43:23","133","182","0","113","--","33:04","--","--","0.08","--","--","0.0","--","36","--","--","Nem","00:43:23","1","--","--","--","--","--","--","--","--","00:00:04","00:43:23","--","--"
Futás,2024-03-05 18:59:01,false,"Bp Futás","4.40","407","00:58:37","141","180","61","229","13:19","2:46","19","19","1.23","--","--","0.0","--","6,002","--","--","Nem","00:04:58.7","5","--","--","--","--","--","--","--","--","00:37:38","00:58:37","103","112"
Futás,2024-03-04 18:40:25,false,"Bp Futás","6.18","552","01:16:46","147","183","76","240","12:26","2:23","43","40","1.05","--","--","0.0","--","7,872","--","--","Nem","00:02:59.4","7","--","--","--","--","--","--","--","--","00:52:04","01:16:46","106","113"
Futás,2024-03-03 11:45:27,false,"Szeged Futás","15.06","840","01:37:01","151","167","160","215","6:26","5:30","68","68","0.97","--","--","0.0","--","15,588","--","--","Nem","00:00:23.5","16","--","--","--","--","--","--","--","--","01:36:32","01:46:49","73","85"
Futás,2024-03-01 18:54:19,false,"Bp Futás","1.84","270","00:39:44","142","175","32","227","21:35","3:45","27","25","1.45","--","--","0.0","--","2,622","--","--","Nem","00:17:34","2","--","--","--","--","--","--","--","--","00:14:00","00:39:44","107","112"
Futás,2024-02-27 18:36:02,false,"Bp Futás","3.98","451","01:21:26","131","179","47","212","20:29","1:49","32","33","1.07","--","--","0.0","--","5,926","--","--","Nem","00:08:31.1","5","--","--","--","--","--","--","--","--","00:34:22","01:24:20","104","113"
Futás,2024-02-26 18:38:29,false,"Bp Futás","5.24","590","01:19:44","147","184","59","235","15:12","3:16","19","21","1.16","--","--","0.0","--","7,224","--","--","Nem","00:03:58.6","6","--","--","--","--","--","--","--","--","00:44:02","01:19:44","106","113"
Futás,2024-02-23 18:40:38,false,"Bp Futás","2.62","256","00:49:08","121","150","37","228","18:46","3:13","17","17","1.46","--","--","0.0","--","3,432","--","--","Nem","00:08:05.0","3","--","--","--","--","--","--","--","--","00:19:44","00:49:08","104","113"
Futás,2024-02-22 19:16:20,false,"Bp Futás","1.49","140","00:24:15","125","144","70","182","16:18","6:05","13","15","0.89","--","--","0.0","--","2,634","--","--","Nem","00:07:40.9","2","--","--","--","--","--","--","--","--","00:15:53","00:24:15","107","111"
Beltéri futás,2024-02-21 18:58:59,false,"Beltéri futás","0.00","368","00:45:46","155","189","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","Nem","00:45:46","1","--","--","--","--","--","--","--","--","00:00:00","00:46:21","--","--"
Futás,2024-02-20 19:10:09,false,"Bp Futás","5.37","529","01:20:05","141","226","62","248","14:55","2:34","63","64","1.17","--","--","0.0","--","7,358","--","--","Nem","00:05:35.1","6","--","--","--","--","--","--","--","--","00:45:41","01:20:05","92","113"
Futás,2024-02-19 18:47:43,false,"Bp Futás","3.98","596","01:18:22","151","183","47","232","19:42","3:19","28","25","1.04","--","--","0.0","--","6,384","--","--","Nem","00:10:47","4","--","--","--","--","--","--","--","--","00:37:22","01:18:22","105","113"
Futás,2024-02-17 10:57:27,false,"Szeged Futás","5.02","284","00:28:58","162","174","158","227","5:46","4:33","24","21","1.10","--","--","0.0","--","4,580","--","--","Nem","00:00:05.5","6","--","--","--","--","--","--","--","--","00:28:56","00:28:58","75","81"
Kerékpározás,2024-02-16 13:59:19,false,"Szeged Kerékpározás","50.51","845","02:00:07","145","163","--","--","25.2","37.3","105","105","--","--","--","0.0","--","--","--","--","Nem","02:01:52","1","--","--","--","--","--","--","--","--","02:01:25","02:19:46","74","95"
Futás,2024-02-15 19:08:10,false,"Bp Futás","1.31","203","00:55:12","109","163","24","240","42:18","3:28","14","15","1.12","--","--","0.0","--","1,992","--","--","Nem","00:10:18","2","--","--","--","--","--","--","--","--","00:10:28","00:55:12","106","112"
Futás,2024-02-14 20:15:04,false,"Bp Futás","2.18","234","00:25:05","162","182","74","198","11:29","1:54","41","34","1.18","--","--","0.0","--","2,878","--","--","Nem","00:01:50.1","3","--","--","--","--","--","--","--","--","00:16:42","00:25:05","104","113"
Futás,2024-02-14 19:02:17,false,"Bp Futás","2.42","338","01:05:46","123","179","50","247","27:14","4:21","17","15","0.75","--","--","0.0","--","4,366","--","--","Nem","00:13:00","3","--","--","--","--","--","--","--","--","00:23:16","01:05:46","106","112"
Futás,2024-02-13 19:17:33,false,"Szeged Futás","3.40","388","01:18:25","127","205","35","248","23:03","2:19","8","8","1.13","--","--","0.0","--","4,536","--","--","Nem","00:00:20.7","13","--","--","--","--","--","--","--","--","00:25:19","01:18:25","80","92"
Futás,2024-02-12 19:03:02,false,"Bp Futás","5.13","524","01:04:17","155","182","62","227","12:31","1:40","67","66","1.28","--","--","0.0","--","5,982","--","--","Nem","00:02:34.3","6","--","--","--","--","--","--","--","--","00:39:39","01:04:17","104","113"
Futás,2024-02-10 15:21:57,false,"Kanjiza Futás","3.17","436","01:16:43","133","175","38","247","24:13","3:36","10","11","1.14","--","--","0.0","--","4,660","--","--","Nem","00:10:06","4","--","--","--","--","--","--","--","--","00:24:58","01:16:43","76","80"
Futás,2024-02-09 18:32:59,false,"Bp Futás","5.48","644","01:19:57","160","190","65","216","14:36","2:47","74","70","1.07","--","--","0.0","--","7,596","--","--","Nem","00:10:47","6","--","--","--","--","--","--","--","--","00:49:06","01:19:57","104","113"
Futás,2024-02-08 18:54:01,false,"Bp Futás","3.51","627","01:19:31","158","184","34","249","22:39","2:51","36","35","1.33","--","--","0.0","--","4,396","--","--","Nem","00:14:11","4","--","--","--","--","--","--","--","--","00:30:53","01:19:31","105","113"
Futás,2024-02-06 19:25:47,false,"Szeged Futás","3.36","442","01:09:27","130","174","47","228","20:41","3:00","1","0","1.02","--","--","0.0","--","5,484","--","--","Nem","00:05:23.1","4","--","--","--","--","--","--","--","--","00:30:49","01:09:27","81","82"
Futás,2024-02-05 18:50:05,false,"Szeged Futás","3.19","448","01:23:37","132","215","27","246","26:12","3:44","1","1","1.43","--","--","0.0","--","4,606","--","--","Nem","00:07:46.6","4","--","--","--","--","--","--","--","--","00:25:19","01:23:37","81","82"
Beltéri futás,2024-01-24 17:58:09,false,"Beltéri futás","0.00","205","00:44:40","132","184","0","106","--","--","--","--","0.00","--","--","0.0","--","22","--","--","Nem","00:44:40","1","--","--","--","--","--","--","--","--","00:00:00","00:44:40","--","--"
Futás,2024-01-23 19:05:48,false,"Szeged Futás","2.62","289","01:05:22","113","149","42","237","24:55","2:09","1","1","1.05","--","--","0.0","--","4,562","--","--","Nem","00:11:31","3","--","--","--","--","--","--","--","--","00:26:58","01:05:22","81","82"
Futás,2024-01-22 18:48:08,false,"Bp Futás","5.79","693","01:20:43","163","181","69","249","13:57","2:09","34","34","1.06","--","--","0.0","--","7,912","--","--","Nem","00:06:14.6","6","--","--","--","--","--","--","--","--","00:43:56","01:20:43","104","112"
Futás,2024-01-21 14:56:58,false,"Szeged Futás","4.68","419","01:17:30","128","160","39","229","16:35","3:47","1","1","1.62","--","--","0.0","--","5,434","--","--","Nem","00:11:36","5","--","--","--","--","--","--","--","--","00:36:34","01:17:30","81","82"
Futás,2024-01-18 20:00:32,false,"Szeged Futás","3.01","372","01:16:03","118","160","34","212","25:17","4:04","1","1","1.14","--","--","0.0","--","5,490","--","--","Nem","00:00:06.8","4","--","--","--","--","--","--","--","--","00:26:47","01:16:03","81","82"
Futás,2024-01-18 11:40:05,false,"Szeged 6x700m tempo","7.07","405","00:49:34","157","183","131","177","7:01","3:59","29","29","1.05","--","--","0.0","--","6,824","--","--","Nem","00:02:02.2","14","--","--","--","--","--","--","--","--","00:46:39","00:56:45","75","84"
Futás,2024-01-17 14:12:17,true,"Szeged - piramis","8.79","486","00:55:40","159","179","154","224","6:20","3:58","65","64","1.02","--","--","0.0","--","8,644","--","--","Nem","00:00:30","33","--","--","--","--","--","--","--","--","00:55:34","00:58:07","74","88"
Futás,2024-01-16 18:39:30,false,"Szeged Futás","3.87","530","01:24:27","144","167","41","229","21:51","4:55","1","0","1.07","--","--","0.0","--","5,958","--","--","Nem","00:05:17.7","6","--","--","--","--","--","--","--","--","00:40:19","01:24:27","81","85"
Futás,2024-01-16 18:29:29,false,"Szeged - 50-100-200-100-50","0.78","42","00:04:58.1","165","181","135","199","6:22","2:43","--","0","1.18","--","--","0.0","--","698","--","--","Nem","00:00:10.6","10","--","--","--","--","--","--","--","--","00:04:26.6","00:04:58.1","81","83"
Futás,2024-01-15 14:42:41,false,"Szeged Futás","5.02","277","00:27:20","168","205","161","224","5:27","4:15","53","53","1.14","--","--","0.0","--","4,392","--","--","Nem","00:00:03.6","6","--","--","--","--","--","--","--","--","00:27:18","00:27:20","75","112"
Erősítő edzés,2024-01-14 17:27:51,false,"Súlyzózás","0.00","201","00:40:14","117","151","--","--","--","--","--","--","--","--","--","0.0","--","32","16","1","Nem","00:40:14","1","--","--","--","--","--","--","--","--","00:40:14","00:40:14","--","--"
Futás,2024-01-14 16:12:13,false,"Szeged - 2-1 intervals","4.52","230","00:25:38","161","200","156","215","5:40","4:28","28","27","1.12","--","--","0.0","--","3,966","--","--","Nem","00:00:00.4","42","--","--","--","--","--","--","--","--","00:24:33","00:32:13","76","95"
Kardió,2024-01-13 13:36:29,false,"Szeged Labdarúgás","3.23","444","01:34:09","124","161","--","--","2.1","15.6","3","2","--","--","--","0.0","--","--","--","--","Nem","01:34:09","1","--","--","--","--","--","--","--","--","00:52:37","01:34:09","81","83"
Futás,2024-01-11 13:44:48,false,"Szeged Futás","4.00","228","00:22:31","172","185","159","171","5:38","4:47","13","15","1.12","--","--","0.0","--","2,680","--","--","Nem","00:05:22","4","--","--","--","--","--","--","--","--","00:22:23","00:25:04","75","91"
Beltéri futás,2024-01-10 19:55:21,false,"Beltéri futás","0.84","422","00:45:15","164","193","42","236","54:07","5:03","--","--","0.44","--","--","0.0","--","2,982","--","--","Nem","00:45:15","1","--","--","--","--","--","--","--","--","00:09:10","00:45:15","--","--"
Futás,2024-01-06 14:23:06,false,"Szeged - 60min","10.48","610","01:00:07","176","186","161","212","5:44","4:23","60","60","1.08","--","--","0.0","--","9,676","--","--","Nem","00:00:07.4","25","--","--","--","--","--","--","--","--","01:00:07","01:00:07","74","88"
Kardió,2023-12-31 11:36:38,false,"Szeged Labdarúgás","5.88","865","01:45:48","153","187","--","--","3.3","17.3","0","0","--","--","--","0.0","--","--","--","--","Nem","01:45:48","1","--","--","--","--","--","--","--","--","01:19:52","01:59:05","83","84"
Erősítő edzés,2023-12-28 18:05:50,false,"Súlyzózás","0.00","186","01:09:03","88","131","--","--","--","--","--","--","--","--","--","0.0","--","48","24","--","Nem","01:09:03","1","--","--","--","--","--","--","--","--","01:09:03","01:12:35","--","--"
Futás,2023-12-27 12:20:37,false,"Szeged Futás","7.03","410","00:48:59","154","163","158","167","6:58","5:40","30","29","0.91","--","--","0.0","--","7,762","--","--","Nem","00:48:59","1","--","--","--","--","--","--","--","--","00:48:54","00:55:17","75","81"
Erősítő edzés,2023-12-26 15:35:25,false,"Súlyzózás","0.00","159","00:44:02","101","141","--","--","--","--","--","--","--","--","--","0.0","--","32","16","1","Nem","00:44:02","1","--","--","--","--","--","--","--","--","00:44:02","00:44:02","--","--"
Beltéri futás,2023-12-20 17:59:56,false,"Beltéri futás","0.00","244","00:45:09","148","187","--","--","--","--","--","--","--","--","--","0.0","--","22","--","--","Nem","00:45:09","1","--","--","--","--","--","--","--","--","00:00:00","00:45:09","--","--"
Erősítő edzés,2023-12-18 12:03:04,false,"Súlyzózás","0.00","412","01:16:40","127","153","--","--","--","--","--","--","--","--","--","0.0","--","18","9","1","Nem","01:16:40","1","--","--","--","--","--","--","--","--","01:16:40","01:16:40","--","--"
Futás,2023-12-14 19:38:25,false,"Szeged Futás","4.60","491","01:07:17","145","168","52","228","14:38","3:11","2","3","1.32","--","--","0.0","--","6,278","--","--","Nem","01:07:17","1","--","--","--","--","--","--","--","--","00:39:18","01:07:17","78","80"
Futás,2023-12-12 18:55:01,false,"Szeged Futás","3.75","461","01:21:50","129","156","38","247","21:51","4:01","1","1","1.19","--","--","0.0","--","5,910","--","--","Nem","01:21:50","1","--","--","--","--","--","--","--","--","00:33:18","01:21:50","75","82"
Futás,2023-12-07 19:49:12,false,"Szeged Futás","5.35","623","01:29:55","146","188","51","246","16:49","3:11","8","2","1.16","--","--","0.0","--","7,874","--","--","Nem","00:15:43","2","--","--","--","--","--","--","--","--","00:44:19","01:29:55","80","88"
Beltéri futás,2023-12-06 19:02:47,false,"Beltéri futás","0.00","277","00:45:23","140","190","1","194","--","19:38","--","--","0.11","--","--","0.0","--","88","--","--","Nem","00:06:08.8","3","--","--","--","--","--","--","--","--","00:00:06","00:45:27","--","--"
Futás,2023-11-30 19:37:50,false,"Szeged Futás","3.56","414","01:07:44","132","205","44","227","19:00","3:38","2","0","1.19","--","--","0.0","--","5,688","--","--","Nem","00:11:20","2","--","--","--","--","--","--","--","--","00:31:58","01:07:44","53","82"
Futás,2023-11-28 17:31:21,false,"Szeged Futás","4.79","488","01:18:19","133","179","50","244","16:21","3:20","6","5","1.23","--","--","0.0","--","6,380","--","--","Nem","01:18:19","1","--","--","--","--","--","--","--","--","00:38:29","01:18:19","76","80"
Futás,2023-11-23 19:04:43,false,"Szeged Futás","6.53","527","01:15:20","136","181","74","228","11:33","1:53","7","7","1.17","--","--","0.0","--","8,156","--","--","Nem","01:15:20","1","--","--","--","--","--","--","--","--","00:50:21","01:15:20","77","79"
Beltéri futás,2023-11-22 19:49:10,false,"Beltéri futás","0.00","283","01:01:23","129","181","0","114","--","--","--","--","0.00","--","--","0.0","--","28","--","--","Nem","01:01:23","1","--","--","--","--","--","--","--","--","00:00:00","01:01:23","--","--"
Futás,2023-11-20 19:04:00,false,"Szeged Futás","1.46","283","00:50:57","125","148","34","233","34:52","5:04","2","1","0.85","--","--","0.0","--","2,776","--","--","Nem","00:50:57","1","--","--","--","--","--","--","--","--","00:13:13","00:50:57","70","80"
Futás,2023-11-17 19:03:05,false,"Szeged Futás","2.93","285","00:45:11","126","178","58","228","15:25","4:07","3","3","1.11","--","--","0.0","--","3,938","--","--","Nem","00:45:11","1","--","--","--","--","--","--","--","--","00:24:31","00:45:11","77","79"
Futás,2023-11-16 19:15:27,false,"Szeged Futás","1.58","344","01:01:54","124","157","18","233","39:13","3:51","43","42","1.44","--","--","0.0","--","2,724","--","--","Nem","01:01:54","1","--","--","--","--","--","--","--","--","00:12:31","01:08:38","77","119"
Futás,2023-11-15 19:12:42,false,"Szeged Futás","4.29","469","01:08:44","137","165","55","215","16:02","4:59","1","1","1.13","--","--","0.0","--","6,338","--","--","Nem","01:08:44","1","--","--","--","--","--","--","--","--","00:34:22","01:08:44","76","79"
Futás,2023-11-14 20:00:32,false,"Szeged Futás","2.70","341","00:42:52","154","181","54","234","15:53","5:47","0","0","1.17","--","--","0.0","--","4,258","--","--","Nem","00:42:52","1","--","--","--","--","--","--","--","--","00:25:10","00:44:46","81","82"
Erősítő edzés,2023-11-13 11:41:05,false,"asd","0.00","181","00:42:55","110","147","--","--","--","--","--","--","--","--","--","0.0","--","378","189","23","Nem","00:42:55","1","--","--","--","--","--","--","--","--","00:42:55","00:42:59","--","--"
Futás,2023-11-11 16:19:19,false,"Hódmezővásárhely Futás","8.62","842","01:52:45","156","189","85","231","13:05","5:51","30","27","0.89","--","--","0.0","--","--","--","--","Nem","01:52:45","1","--","--","--","--","--","--","--","--","01:18:47","01:52:45","78","89"
Futás,2023-11-10 17:26:22,false,"Szeged Futás","1.29","179","00:42:53","106","139","20","236","33:20","7:02","1","1","1.53","--","--","0.0","--","2,090","--","--","Nem","00:42:53","1","--","--","--","--","--","--","--","--","00:07:02","00:42:53","81","85"
Beltéri futás,2023-11-08 18:04:46,false,"futsal","0.01","324","00:52:02","149","188","1","116","--","16:42","--","--","0.19","--","--","0.0","--","78","--","--","Nem","00:52:02","1","--","--","--","--","--","--","--","--","00:00:14","00:52:02","--","--"
Futás,2023-11-07 19:44:18,false,"Szeged Futás","4.49","590","01:38:07","133","176","39","238","21:51","5:32","29","9","1.18","--","--","0.0","--","7,060","--","--","Nem","01:38:07","1","--","--","--","--","--","--","--","--","00:39:30","01:38:07","61","89"
Erősítő edzés,2023-11-06 17:56:49,false,"Maximize Your Upper Body","0.00","92","00:40:00","93","122","--","--","--","--","--","--","--","--","--","0.0","--","496","248","29","Nem","00:40:00","1","--","--","--","--","--","--","--","--","00:25:23","00:40:03","--","--"
Futás,2023-10-31 18:10:14,false,"Szeged Futás","3.04","282","00:57:39","113","155","54","228","18:58","5:36","13","13","0.98","--","--","0.0","--","4,922","--","--","Nem","00:57:39","1","--","--","--","--","--","--","--","--","00:28:05","00:57:39","81","97"
Futás,2023-10-29 14:29:17,false,"Szeged Futás","6.75","763","01:46:02","153","188","71","206","15:43","2:05","62","61","0.89","--","--","0.0","--","9,846","--","--","Nem","01:46:02","1","--","--","--","--","--","--","--","--","01:04:47","01:46:06","81","135"
Futás,2023-10-28 17:21:37,false,"Szeged Futás","1.77","164","00:38:46","105","144","30","225","21:52","5:31","1","1","1.53","--","--","0.0","--","2,030","--","--","Nem","00:38:46","1","--","--","--","--","--","--","--","--","00:15:55","00:38:46","82","97"
Futás,2023-10-24 19:08:30,false,"Szeged Futás","2.36","142","00:14:01","169","184","165","230","5:57","3:50","0","--","1.02","--","--","0.0","--","2,284","--","--","Nem","00:14:01","1","--","--","--","--","--","--","--","--","00:13:49","00:14:01","82","83"
Futás,2023-10-24 18:48:37,false,"Szeged Futás","2.26","130","00:13:07","166","183","156","223","5:47","3:33","0","--","1.11","--","--","0.0","--","2,106","--","--","Nem","00:13:07","1","--","--","--","--","--","--","--","--","00:12:52","00:13:07","82","83"
Kardió,2023-10-21 11:39:15,false,"Szeged Labdarúgás","3.71","472","01:12:04","136","159","--","--","3.1","15.1","59","59","--","--","--","0.0","--","--","--","--","Nem","01:12:04","1","--","--","--","--","--","--","--","--","00:56:43","01:12:04","29","83"
Futás,2023-10-19 15:46:21,false,"Szeged - 2-1 intervals","7.11","378","00:41:19","159","180","152","232","5:48","4:31","49","48","1.12","--","--","0.0","--","6,290","--","--","Nem","00:00:00.6","42","--","--","--","--","--","--","--","--","00:41:02","00:46:37","75","88"
Futás,2023-10-18 20:23:04,false,"Szeged Futás","2.85","276","00:56:09","115","144","48","247","19:43","5:51","1","1","1.06","--","--","0.0","--","4,440","--","--","Nem","00:56:09","1","--","--","--","--","--","--","--","--","00:28:16","00:56:09","74","82"
Futás,2023-10-16 19:50:08,false,"Szeged Futás","2.95","292","01:18:30","100","133","34","230","26:37","5:36","1","1","1.10","--","--","0.0","--","5,326","--","--","Nem","01:18:30","1","--","--","--","--","--","--","--","--","00:26:06","01:18:30","81","90"
Futás,2023-10-14 14:57:06,false,"Szeged Futás","6.45","804","01:50:08","155","192","61","228","17:04","5:36","10","10","0.97","--","--","0.0","--","9,046","--","--","Nem","00:00:08.9","3","--","--","--","--","--","--","--","--","01:00:51","01:50:08","80","116"
Futás,2023-10-13 18:33:17,false,"Szeged Futás","4.74","425","01:27:45","116","150","45","248","18:30","5:09","6","6","1.20","--","--","0.0","--","7,844","--","--","Nem","01:27:45","1","--","--","--","--","--","--","--","--","00:45:31","01:27:45","81","112"
Futás,2023-10-12 19:43:57,false,"Szeged Futás","4.31","501","01:20:05","136","169","45","229","18:35","5:17","2","1","1.21","--","--","0.0","--","6,480","--","--","Nem","01:20:05","1","--","--","--","--","--","--","--","--","00:40:29","01:20:05","81","82"
Futás,2023-10-10 18:16:14,false,"Szeged Futás","5.45","482","01:34:37","125","182","48","239","17:23","4:01","79","79","1.21","--","--","0.0","--","6,810","--","--","Nem","00:18:07","2","--","--","--","--","--","--","--","--","00:39:30","01:34:37","81","155"
Erősítő edzés,2023-10-09 11:22:23,false,"Maximize Your Upper Body","0.00","120","00:43:12","97","138","--","--","--","--","--","--","--","--","--","0.0","--","712","356","29","Nem","00:43:12","1","--","--","--","--","--","--","--","--","00:28:20","00:43:52","--","--"
Futás,2023-10-08 13:22:21,false,"Szeged Futás","7.15","700","01:44:33","159","188","71","211","14:37","5:12","3","3","0.97","--","--","0.0","--","--","--","--","Nem","01:44:33","1","--","--","--","--","--","--","--","--","01:08:23","01:44:33","79","81"
Futás,2023-10-06 18:27:32,false,"Szeged Futás","4.19","447","01:32:31","112","171","40","237","22:06","4:30","13","14","1.13","--","--","0.0","--","6,228","--","--","Nem","01:32:31","1","--","--","--","--","--","--","--","--","00:37:47","01:32:31","80","89"
Futás,2023-10-05 19:38:18,false,"Szeged Futás","3.86","425","01:25:14","123","156","41","234","22:06","5:41","1","1","1.12","--","--","0.0","--","6,850","--","--","Nem","01:25:14","1","--","--","--","--","--","--","--","--","00:38:44","01:25:14","61","82"
Futás,2023-10-03 18:20:46,false,"Szeged Futás","3.29","356","01:24:51","112","156","38","219","25:48","5:38","82","82","1.01","--","--","0.0","--","5,450","--","--","Nem","00:32:28","2","--","--","--","--","--","--","--","--","00:32:27","01:24:51","2","83"
Futás,2023-10-01 15:57:45,false,"Szeged Labdarúgás","6.57","336","01:40:45","--","--","--","--","15:20","2:37","4","5","--","--","--","0.0","--","--","--","--","Nem","01:40:45","1","--","--","--","--","--","--","--","--","01:10:42","01:40:45","81","83"
Futás,2023-09-30 15:56:51,false,"Szeged Futás","3.40","358","01:21:40","114","145","37","220","24:03","6:05","3","3","1.13","--","--","0.0","--","4,830","--","--","Nem","01:21:40","1","--","--","--","--","--","--","--","--","00:33:06","01:21:40","82","83"
Erősítő edzés,2023-09-28 11:43:47,false,"Súlyzózás","0.00","204","00:55:24","102","138","--","--","--","--","--","--","--","--","--","0.0","--","16","8","2","Nem","00:55:24","1","--","--","--","--","--","--","--","--","00:38:29","00:55:24","--","--"
Erősítő edzés,2023-09-27 18:34:58,false,"Súlyzózás","0.00","142","00:53:04","88","126","--","--","--","--","--","--","--","--","--","0.0","--","4","2","1","Nem","00:53:04","1","--","--","--","--","--","--","--","--","00:53:04","00:53:04","--","--"
Futás,2023-09-26 18:29:45,false,"Szeged Futás","3.45","402","01:17:52","124","162","42","248","22:35","5:04","3","2","1.05","--","--","0.0","--","5,846","--","--","Nem","00:37:09","2","--","--","--","--","--","--","--","--","00:33:18","01:17:52","81","83"
Futás,2023-09-25 18:32:46,false,"Szeged Futás","1.49","167","00:56:06","89","124","36","248","37:37","5:52","10","11","0.73","--","--","0.0","--","2,670","--","--","Nem","00:56:06","1","--","--","--","--","--","--","--","--","00:12:27","00:56:06","81","83"
