Tevékenység típusa,Dátum,Kedvenc,Cím,Távolság,Kalóriaszám,Idő,Átlagos pulzusszám,Max. pulzus,Átl. pedálütem,Max. pedálütem,Átlagos tempó,Legjobb tempó,Teljes emelkedés,Teljes süllyedés,Átlagos lépéshossz,Átl. pedálütem,Max. pedálütem,Training Stress Score®,Teljes csapásszám,Lépések,Összes ismétlés,Összes szett,Dekompressziós,Legjobb köridő,Körök száma,Ált. légzés,Min. légzés,Max. légzés,Stresszadatok változása,Kezdő stressz,Befejező stressz,Átl. stressz,Max. stressz,Menetidő,Eltelt idő,Minimális magasság,Maximális magasság
Kerékpározás,2024-07-10 12:36:56,false,"Székesfehérvár Kerékpározás","18.50","346","01:01:54","120","152","--","--","17.9","39.8","145","152","--","--","--","0.0","--","--","--","--","Nem","01:01:54","1","--","--","--","--","--","--","--","--","01:01:14","02:15:07","107","175"
Kerékpározás,2024-07-10 10:13:00,false,"Gárdony Kerékpározás","21.08","355","01:09:58","117","154","--","--","18.1","37.0","132","127","--","--","--","0.0","--","--","--","--","Nem","01:09:58","1","--","--","--","--","--","--","--","--","01:08:04","02:11:52","101","175"
Futás,2024-07-09 18:29:30,false,"Bp Futás","6.04","809","01:35:31","151","187","59","245","15:48","3:23","71","72","1.10","--","--","0.0","--","8,004","--","--","Nem","00:01:51.8","7","--","--","--","--","--","--","--","--","00:49:31","01:35:31","99","107"
Futás,2024-07-08 18:32:18,false,"Bp Futás","4.29","594","01:20:59","138","187","41","238","18:53","2:57","20","18","1.47","--","--","0.0","--","5,916","--","--","Nem","00:08:25.3","5","--","--","--","--","--","--","--","--","00:35:16","01:20:59","98","101"
Futás,2024-07-03 18:30:15,false,"Bp Futás","7.51","753","01:47:14","138","187","66","232","14:16","2:36","13","12","1.00","--","--","0.0","--","10,082","--","--","Nem","00:01:21.3","9","--","--","--","--","--","--","--","--","00:58:31","01:47:14","98","101"
Futás,2024-07-02 20:33:11,false,"Szeged Futás","1.02","94","00:14:19","121","146","55","186","13:58","2:47","0","0","1.30","--","--","0.0","--","1,352","--","--","Nem","00:00:32.4","2","--","--","--","--","--","--","--","--","00:08:33","00:14:19","65","82"
Futás,2024-07-02 19:16:29,false,"Szeged Futás","4.51","395","01:15:12","115","162","47","247","16:41","3:28","1","1","1.29","--","--","0.0","--","6,360","--","--","Nem","00:07:03.9","5","--","--","--","--","--","--","--","--","00:39:26","01:15:12","81","88"
Futás,2024-07-01 18:24:00,false,"Bp Futás","5.60","658","01:37:27","134","181","47","248","17:25","2:31","20","22","1.22","--","--","0.0","--","7,358","--","--","Nem","00:08:11.1","6","--","--","--","--","--","--","--","--","00:45:06","01:37:27","98","107"
Futás,2024-06-29 20:21:19,true,"Szeged Futás","5.88","348","00:40:01","140","150","157","162","6:49","5:57","36","36","0.93","--","--","0.0","--","6,286","--","--","Nem","00:06:07.0","6","--","--","--","--","--","--","--","--","00:39:59","00:40:01","73","81"
Futás,2024-06-27 14:13:49,false,"Szeged - realmadrid","2.27","126","00:17:00","141","177","86","205","7:30","3:17","23","23","1.75","--","--","0.0","--","1,634","--","--","Nem","00:00:10","52","--","--","--","--","--","--","--","--","00:11:56","00:17:00","75","91"
Kardió,2024-06-27 13:29:25,false,"Kardió","0.00","239","00:38:09","123","144","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","Nem","00:38:09","1","--","--","--","--","--","--","--","--","00:00:00","00:38:09","--","--"
Futás,2024-06-26 18:56:28,false,"Szeged Futás","4.00","477","01:03:57","139","166","51","235","16:00","3:20","5","4","1.23","--","--","0.0","--","5,452","--","--","Nem","00:04:34.2","5","--","--","--","--","--","--","--","--","00:32:27","01:03:57","81","84"
Erősítő edzés,2024-06-25 20:39:39,false,"Súlyzózás","0.00","174","00:50:39","94","128","--","--","--","--","--","--","--","--","--","0.0","--","12","6","1","Nem","00:50:39","1","--","--","--","--","--","--","--","--","00:50:39","00:50:39","--","--"
Futás,2024-06-24 20:07:26,true,"Szeged - piramis","7.93","494","00:48:48","163","182","152","170","6:09","3:59","47","44","1.06","--","--","0.0","--","7,350","--","--","Nem","00:00:04.6","33","--","--","--","--","--","--","--","--","00:47:05","00:50:52","73","81"
Futás,2024-06-22 13:27:33,false,"Bp Futás","1.14","129","00:16:17","133","173","50","223","14:15","4:00","1","1","1.42","--","--","0.0","--","1,578","--","--","Nem","00:01:16.7","2","--","--","--","--","--","--","--","--","00:08:59","00:16:17","105","107"
Futás,2024-06-22 12:52:04,false,"Bp Futás","0.99","125","00:15:31","137","155","53","212","15:42","3:52","3","2","1.20","--","--","0.0","--","1,406","--","--","Nem","00:05:16.2","2","--","--","--","--","--","--","--","--","00:08:16","00:15:31","104","107"
Futás,2024-06-22 11:31:54,false,"Bp Futás","1.03","126","00:16:11","132","160","55","205","15:40","4:25","3","2","1.12","--","--","0.0","--","1,406","--","--","Nem","00:00:22.7","2","--","--","--","--","--","--","--","--","00:09:20","00:16:11","105","107"
Futás,2024-06-22 10:53:43,false,"Bp Futás","1.30","170","00:16:41","158","177","67","194","12:48","4:09","1","1","1.16","--","--","0.0","--","1,844","--","--","Nem","00:04:17.5","2","--","--","--","--","--","--","--","--","00:10:57","00:16:41","97","107"
Futás,2024-06-22 09:30:40,false,"Bp Futás","1.26","136","00:20:08","122","143","55","247","16:02","2:53","3","1","1.09","--","--","0.0","--","1,966","--","--","Nem","00:07:36.8","2","--","--","--","--","--","--","--","--","00:10:16","00:20:08","104","108"
Futás,2024-06-19 10:13:22,false,"Szeged - interval","5.93","387","00:36:21","168","185","142","190","6:08","3:14","7","8","1.35","--","--","0.0","--","5,276","--","--","Nem","00:00:02.3","22","--","--","--","--","--","--","--","--","00:33:20","00:36:21","81","84"
Kardió,2024-06-19 09:32:26,false,"Kardió","0.00","213","00:30:49","129","149","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","Nem","00:30:49","1","--","--","--","--","--","--","--","--","00:00:00","00:30:49","--","--"
Futás,2024-06-18 18:25:10,false,"Szeged Futás","4.41","453","01:17:14","126","150","47","218","17:32","3:59","7","8","1.21","--","--","0.0","--","6,484","--","--","Nem","00:09:31.9","5","--","--","--","--","--","--","--","--","00:41:20","01:17:19","81","87"
Futás,2024-06-17 11:13:11,false,"Szeged Futás","5.23","324","00:30:02","163","176","156","162","5:45","5:07","29","29","1.12","--","--","0.0","--","4,682","--","--","Nem","00:01:19.1","6","--","--","--","--","--","--","--","--","00:29:53","00:30:02","73","81"
Kerékpározás,2024-06-14 14:06:00,false,"Szeged Kerékpározás","62.64","833","02:39:15","125","144","--","--","23.6","33.6","189","189","--","--","--","0.0","--","--","--","--","Nem","02:39:15","1","--","--","--","--","--","--","--","--","02:38:51","02:46:22","74","113"
Futás,2024-06-13 19:15:03,true,"Szeged - piramis","6.34","353","00:37:01","147","178","157","188","5:50","3:12","53","50","1.09","--","--","0.0","--","5,788","--","--","Nem","00:00:00.6","33","--","--","--","--","--","--","--","--","00:36:49","00:40:54","75","88"
Futás,2024-06-12 18:57:30,false,"Szeged Futás","4.92","363","01:15:40","111","141","55","247","15:23","3:04","2","1","1.21","--","--","0.0","--","6,826","--","--","Nem","00:14:09","5","--","--","--","--","--","--","--","--","00:43:15","01:15:40","81","82"
Futás,2024-06-11 12:17:10,true,"Szeged - 60min","10.10","609","01:00:06","158","175","156","172","5:57","4:08","127","125","1.07","--","--","0.0","--","9,360","--","--","Nem","00:00:06.4","25","--","--","--","--","--","--","--","--","00:59:58","01:00:06","75","120"
Futás,2024-06-05 19:10:30,false,"Szeged Labdarúgás","2.89","233","00:56:57","107","145","--","--","19:42","3:32","1","1","--","--","--","0.0","--","--","--","--","Nem","00:56:57","1","--","--","--","--","--","--","--","--","00:39:52","00:56:57","82","83"
Erősítő edzés,2024-06-04 11:50:31,false,"Súlyzózás","0.00","137","00:41:18","96","122","--","--","--","--","--","--","--","--","--","0.0","--","18","9","1","Nem","00:41:18","1","--","--","--","--","--","--","--","--","00:41:18","00:41:18","--","--"
Futás,2024-06-03 15:51:46,false,"Szeged - 15-45 x20","5.21","268","00:30:39","149","166","158","186","5:53","3:26","27","30","1.08","--","--","0.0","--","4,754","--","--","Nem","00:00:15","43","--","--","--","--","--","--","--","--","00:30:29","00:31:52","75","103"
Erősítő edzés,2024-06-03 13:41:11,false,"Súlyzózás","0.00","125","01:04:18","77","113","--","--","--","--","--","--","--","--","--","0.0","--","8","4","1","Nem","01:04:18","1","--","--","--","--","--","--","--","--","01:04:18","01:04:18","--","--"
Futás,2024-06-02 19:40:48,false,"Szeged Futás","5.00","262","00:24:42","166","181","160","169","4:56","4:01","48","47","1.27","--","--","0.0","--","3,144","--","--","Nem","00:00:02","6","--","--","--","--","--","--","--","--","00:24:42","00:24:42","74","88"
Futás,2024-06-01 18:57:02,false,"Szeged - piramis","9.02","470","00:52:52","152","174","158","186","5:51","3:25","56","56","1.07","--","--","0.0","--","8,360","--","--","Nem","00:00:30","33","--","--","--","--","--","--","--","--","00:52:43","00:55:11","75","89"
Futás,2024-05-31 17:55:07,true,"Szeged - 1k repeats","8.12","451","00:48:42","157","182","143","169","6:00","4:04","40","38","1.14","--","--","0.0","--","7,196","--","--","Nem","00:02:00","13","--","--","--","--","--","--","--","--","00:47:37","00:51:20","75","88"
Futás,2024-05-30 19:00:02,false,"Bp Futás","4.55","402","00:46:07","156","181","89","215","10:08","3:25","11","7","1.13","--","--","0.0","--","5,904","--","--","Nem","00:06:23.2","5","--","--","--","--","--","--","--","--","00:37:07","00:46:07","100","105"
